City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Elizabeth,ZA,-33.918,25.5701,68.0,83,0,13.8,clear sky
80,Hasaki,JP,35.7333,140.8333,63.0,63,75,4.61,broken clouds
81,Mataura,NZ,-46.1927,168.8643,64.99,62,0,7.0,clear sky
82,Ancud,CL,-41.8697,-73.8203,53.01,100,90,2.3,fog
83,Gat,IL,31.61,34.7642,57.0,100,36,4.0,scattered clouds
84,Ajjampur,IN,13.7281,76.0094,80.51,46,29,5.82,scattered clouds
85,Marshall,US,34.3834,-86.3333,60.8,63,1,4.61,clear sky
86,San Andres,CO,12.5847,-81.7006,78.8,83,40,9.22,scattered clouds
87,Yellowknife,CA,62.456,-114.3525,6.8,72,75,9.22,light snow
88,Tahe,CN,52.3333,124.7333,39.29,67,0,10.8,clear sky
89,Luancheng,CN,37.8792,114.6517,46.4,100,90,6.71,fog
90,Acarau,BR,-2.8856,-40.12,78.26,84,100,10.22,overcast clouds
91,Lompoc,US,34.6391,-120.4579,46.4,76,40,5.32,scattered clouds
92,Atuona,PF,-9.8,-139.0333,79.9,64,35,5.44,scattered clouds
93,Samarai,PG,-10.6167,150.6667,84.63,69,85,5.17,overcast clouds
94,Olafsvik,IS,64.8945,-23.7142,31.62,76,100,39.64,snow
95,Tucuman,AR,-26.8241,-65.2226,77.0,88,90,4.61,moderate rain
96,Sao Filipe,CV,14.8961,-24.4956,69.42,71,54,9.91,broken clouds
97,Udachnyy,RU,66.4167,112.4,0.03,89,100,2.95,overcast clouds
98,Clyde River,CA,70.4692,-68.5914,-5.8,71,90,9.22,overcast clouds
99,Walvis Bay,NA,-22.9575,14.5053,61.0,94,59,11.5,broken clouds
100,Bluff,NZ,-46.6,168.3333,64.99,62,20,7.0,few clouds
101,Bredasdorp,ZA,-34.5322,20.0403,62.6,88,98,4.61,overcast clouds
102,Mangan,IN,27.5167,88.5333,74.44,36,0,4.32,clear sky
103,Vaini,TO,-21.2,-175.2,82.4,74,40,6.91,scattered clouds
104,Nabire,ID,-3.3667,135.4833,83.7,77,30,5.79,scattered clouds
105,Mankono,CI,8.0586,-6.1897,77.23,79,99,4.36,overcast clouds
106,Hobart,AU,-42.8794,147.3294,82.0,47,40,9.22,scattered clouds
107,Barrow,US,71.2906,-156.7887,-9.4,70,1,4.61,clear sky
108,Elk Point,US,42.6833,-96.6836,39.99,60,1,3.44,clear sky
109,Esperance,AU,-33.8667,121.9,60.8,100,90,16.11,light rain
110,Ilulissat,GL,69.2167,-51.1,12.2,48,1,10.36,clear sky
111,Nikolskoye,RU,59.7035,30.7861,23.0,58,90,13.42,overcast clouds
112,Londoko,RU,49.0333,131.9833,35.53,71,13,4.97,few clouds
113,Saldanha,ZA,-33.0117,17.9442,55.4,76,100,2.3,overcast clouds
114,Iquitos,PE,-3.7481,-73.2472,77.0,88,75,4.61,broken clouds
115,Provideniya,RU,64.3833,-173.3,3.2,78,75,4.47,broken clouds
116,Asau,RO,46.4333,26.4,28.99,61,99,5.88,light snow
117,Alofi,NU,-19.0595,-169.9187,82.4,69,20,6.91,few clouds
118,Bowen,AU,-20.0167,148.2333,86.0,62,75,13.8,broken clouds
119,Sembakung,ID,3.8167,117.25,91.72,54,64,2.84,broken clouds
120,Jijiga,ET,9.35,42.8,61.21,63,0,6.91,clear sky
121,Santiago,CL,-33.4569,-70.6483,69.01,63,75,6.91,broken clouds
